Symbol	Entry DateTime	Trade Type	Duration	Profit/Loss (C)	Cumulative Profit/Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Exit DateTime	Commission (C)	Max Open Quantity	Trade Quantity	Entry Price	Exit Price	Max Closed Quantity	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Account
MESU25_FUT_CME	2025-08-27  09:42:28.689 BP	Short	00:01:45	-22.29	-49.58	1.25	-21.25	2025-08-27  09:44:14.080 EP	1.04	1	1	6479.25	6483.50	1	-22.29 F	1.25	-21.25	100.0%	-4.6%	-99.1%	6483.50	6479.00	Parent order	1	0	163351
MESU25_FUT_CME	2025-08-27  09:45:25.835 BP	Short	00:17:33	-22.29	-71.87	16.25	-21.25	2025-08-27  10:02:59.681 EP	1.04	1	1	6479.75	6484.00	1	-22.29 F	16.25	-21.25	100.0%	-2.8%	-59.4%	6484.00	6476.50	Parent order	1	0	163351
MESU25_FUT_CME	2025-08-29  10:23:01.510 BP	Short	00:03:13	8.96	-62.91	10.00	-15.00	2025-08-29  10:26:15.240	1.04	2	1	6467.25	6465.25	1	8.96	10.00	-15.00	100.0%	95.8%	35.8%	6470.25	6465.25	Parent order	1	1	163351
MESU25_FUT_CME	2025-08-29  10:23:01.510	Short	00:06:25	0.21	-62.70	25.00	-15.00	2025-08-29  10:29:26.992 EP	1.04	2	1	6467.25	6467.00	2	9.17 F	35.00	-30.00	100.0%	46.5%	0.3%	6470.25	6462.25	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-02  14:36:47.879 BP	Short	00:12:05	-33.54	-96.24	11.25	-32.50	2025-09-02  14:48:53.169	1.04	2	1	6398.25	6404.75	1	-33.54	11.25	-32.50	100.0%	-2.4%	-76.7%	6404.75	6396.00	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-02  14:36:47.959	Short	00:12:05	-33.54	-129.78	11.25	-32.50	2025-09-02  14:48:53.169 EP	1.04	2	1	6398.25	6404.75	2	-67.08 F	22.50	-65.00	100.0%	36.0%	-38.3%	6404.75	6396.00	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-04  15:40:33.913 BP	Long	00:15:43	28.96	-100.82	30.00	-17.50	2025-09-04  15:56:17.909	1.04	2	1	6503.75	6509.75	1	28.96	30.00	-17.50	100.0%	97.8%	61.0%	6509.75	6500.25	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-04  15:40:33.913	Long	00:19:34	27.71	-73.11	45.00	-17.50	2025-09-04  16:00:08.020 EP	1.04	2	1	6503.75	6509.50	2	56.67 F	75.00	-35.00	100.0%	57.0%	25.2%	6512.75	6500.25	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-10  10:01:30.007 BP	Short	00:02:19	-14.79	-87.90	0.00	-13.75	2025-09-10  10:03:49.685	1.04	2	1	6555.50	6558.25	1	-14.79	0.00	-13.75	100.0%	-7.6%	-107.6%	6558.25	6555.50	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-10  10:01:30.099	Short	00:02:19	-14.79	-102.69	0.00	-13.75	2025-09-10  10:03:49.685 EP	1.04	2	1	6555.50	6558.25	2	-29.58 F	0.00	-27.50	100.0%	46.2%	-53.8%	6558.25	6555.50	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-10  10:14:19.787 BP	Long	00:03:57	-13.54	-116.23	5.00	-15.00	2025-09-10  10:18:17.511	1.04	2	1	6561.25	6558.75	1	-13.54	5.00	-15.00	100.0%	7.3%	-67.7%	6562.25	6558.25	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-10  10:14:19.787	Long	00:03:57	-13.54	-129.77	5.00	-15.00	2025-09-10  10:18:17.511 EP	1.04	2	1	6561.25	6558.75	2	-27.08 F	10.00	-30.00	100.0%	41.1%	-33.9%	6562.25	6558.25	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-10  10:18:19.563 BP	Short	00:01:30	-11.04	-140.81	10.00	-10.00	2025-09-10  10:19:50.452	1.04	2	1	6558.50	6560.50	1	-11.04	10.00	-10.00	100.0%	-5.2%	-55.2%	6560.50	6556.50	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-10  10:18:19.642	Short	00:01:30	-11.04	-151.85	10.00	-10.00	2025-09-10  10:19:50.452 EP	1.04	2	1	6558.50	6560.50	2	-22.08 F	20.00	-20.00	100.0%	22.4%	-27.6%	6560.50	6556.50	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-12  10:08:43.278 BP	Long	00:05:10	-32.29	-184.14	5.00	-31.25	2025-09-12  10:13:54.086	1.04	2	1	6594.75	6588.50	1	-32.29	5.00	-31.25	100.0%	-2.9%	-89.1%	6595.75	6588.50	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-12  10:08:43.278	Long	00:05:10	-32.29	-216.43	5.00	-31.25	2025-09-12  10:13:54.086 EP	1.04	2	1	6594.75	6588.50	2	-64.58 F	10.00	-62.50	100.0%	41.7%	-44.5%	6595.75	6588.50	Parent order	2	0	163351
MESU25_FUT_CME	2025-09-12  10:13:57.616 BP	Short	00:41:06	-37.29	-253.72	10.00	-36.25	2025-09-12  10:55:04.273	1.04	2	1	6588.75	6596.00	1	-37.29	10.00	-36.25	100.0%	-2.2%	-80.6%	6596.00	6586.75	Parent order	1	1	163351
MESU25_FUT_CME	2025-09-12  10:13:57.683	Short	00:41:06	-37.29	-291.01	10.00	-36.25	2025-09-12  10:55:04.273 EP	1.04	2	1	6588.75	6596.00	2	-74.58 F	20.00	-72.50	100.0%	38.1%	-40.3%	6596.00	6586.75	Parent order	2	0	163351
																										
MESZ25_FUT_CME (163351)	2025-09-15  09:45:38.145 BP	Long	00:03:28	18.96	18.96	20.00	-2.50	2025-09-15  09:49:06.584	1.04	2	1	6669.50	6673.50	1	18.96	20.00	-2.50	100.0%	95.4%	84.3%	6673.50	6669.00	Parent order	1	1	163351
MESZ25_FUT_CME	2025-09-15  09:45:38.237	Long	00:09:34	31.46	50.42	32.50	-2.50	2025-09-15  09:55:12.913 EP	1.04	2	1	6669.50	6676.00	2	50.42 F	52.50	-5.00	100.0%	63.4%	54.7%	6676.00	6669.00	Parent order	2	0	163351
				Total: -290.40																						
